Country Code,Country,Airport ICAO Code,Airport Name,Airport Latitude,Airport Longitude,Operation Type,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g),PM2.5 LTO Emission (g),HC LTO Total mass (g),CO LTO Total Mass (g)
US,United States of America (the),KRXE,Rexburg Madison County Airport,43.8339,-111.805002,Commercial Freighter,122,11704,17413,10657,11075,1021285
US,United States of America (the),KRXE,Rexburg Madison County Airport,43.8339,-111.805002,General Aviation,1446,12802,39703,1868,261626,10794052
US,United States of America (the),KRHI,Rhinelander Oneida County Airport,45.63119888305664,-89.46749877929688,Commercial Passenger,1346,303862,2234505,48624,566569,5739670
US,United States of America (the),KRHI,Rhinelander Oneida County Airport,45.63119888305664,-89.46749877929688,Commercial Freighter,122,11895,16878,10657,10971,1054747
US,United States of America (the),KRHI,Rhinelander Oneida County Airport,45.63119888305664,-89.46749877929688,General Aviation,441,5663,22900,1058,93320,3619161
US,United States of America (the),KRPD,Rice Lake Regional Airport - Carl's Field,45.423024,-91.773127,Commercial Passenger,230,12096,48137,12171,391658,1167440
US,United States of America (the),KRPD,Rice Lake Regional Airport - Carl's Field,45.423024,-91.773127,General Aviation,1448,75664,65331,48613,218334,14522686
US,United States of America (the),KRMG,Richard B Russell Airport,34.3506011963,-85.15799713130001,Commercial Passenger,314,28417,111367,25082,275215,1292817
US,United States of America (the),KRMG,Richard B Russell Airport,34.3506011963,-85.15799713130001,General Aviation,3840,38841,121346,4968,752603,31473157
US,United States of America (the),KSUW,Richard I Bong Memorial Airport,46.688612,-92.095041,Commercial Passenger,124,14341,55510,7265,76266,909436
US,United States of America (the),KSUW,Richard I Bong Memorial Airport,46.688612,-92.095041,Commercial Freighter,3,474,3412,262,0,9455
US,United States of America (the),KSUW,Richard I Bong Memorial Airport,46.688612,-92.095041,General Aviation,741,7247,20792,946,186230,6344848
US,United States of America (the),KRVS,Richard Lloyd Jones Jr Airport,36.039600372314,-95.984596252441,Commercial Passenger,1259,105535,556824,86753,1918971,6995994
US,United States of America (the),KRVS,Richard Lloyd Jones Jr Airport,36.039600372314,-95.984596252441,General Aviation,47349,390925,1189244,41041,8636361,368160196
US,United States of America (the),KRLD,Richland Airport,46.305599,-119.304001,Commercial Passenger,1855,561580,5644000,69425,1927904,10149750
US,United States of America (the),KRLD,Richland Airport,46.305599,-119.304001,Commercial Freighter,9,1260,7663,786,189,38531
US,United States of America (the),KRLD,Richland Airport,46.305599,-119.304001,General Aviation,2110,22614,58925,4609,410964,16185692
US,United States of America (the),KRCZ,Richmond County Airport,34.8913,-79.759598,Commercial Passenger,82,6715,25432,6684,62705,394534
US,United States of America (the),KRCZ,Richmond County Airport,34.8913,-79.759598,General Aviation,848,7997,25393,1239,154576,6696444
US,United States of America (the),KFCI,Richmond Executive-Chesterfield County Airport,37.406502,-77.525002,Commercial Passenger,530,46607,230633,37194,602047,2722935
US,United States of America (the),KFCI,Richmond Executive-Chesterfield County Airport,37.406502,-77.525002,General Aviation,6641,64756,197744,8528,1257195,53876324
US,United States of America (the),KRIC,Richmond International Airport,37.505199,-77.319702,Commercial Passenger,27891,17535426,211574723,1245123,17248265,196212879
US,United States of America (the),KRIC,Richmond International Airport,37.505199,-77.319702,Commercial Freighter,3005,3930934,53654952,311637,3497669,33350934
US,United States of America (the),KRIC,Richmond International Airport,37.505199,-77.319702,General Aviation,6654,145325,1163795,17501,1326771,53309342
US,United States of America (the),KRID,Richmond Municipal Airport,39.757198,-84.842796,Commercial Passenger,29,3294,29926,1990,37776,142832
US,United States of America (the),KRID,Richmond Municipal Airport,39.757198,-84.842796,General Aviation,1240,12343,34817,1680,224034,9641283
US,United States of America (the),KAMA,Rick Husband Amarillo International Airport,35.219398,-101.706001,Commercial Passenger,7660,3872683,43062631,373789,5242264,52330128
US,United States of America (the),KAMA,Rick Husband Amarillo International Airport,35.219398,-101.706001,Commercial Freighter,123,24514,201358,10120,21472,1122083
US,United States of America (the),KAMA,Rick Husband Amarillo International Airport,35.219398,-101.706001,General Aviation,1325,30762,186427,6871,273118,11030009
US,United States of America (the),KLCK,Rickenbacker International Airport,39.813801,-82.927803,Commercial Passenger,1562,900847,13274166,84217,1605190,11650458
US,United States of America (the),KLCK,Rickenbacker International Airport,39.813801,-82.927803,Commercial Freighter,2245,3497706,47580478,267457,3890250,33785700
US,United States of America (the),KLCK,Rickenbacker International Airport,39.813801,-82.927803,General Aviation,959,26873,71826,7429,222286,13139264
US,United States of America (the),KRJD,Ridgely Airpark,38.9701,-75.866302,Commercial Passenger,22,3599,33269,982,8745,60539
US,United States of America (the),KRJD,Ridgely Airpark,38.9701,-75.866302,General Aviation,2190,90325,90356,28996,360740,21480774
US,United States of America (the),KRAL,Riverside Municipal Airport,33.9519,-117.445,Commercial Passenger,229,19075,108631,16494,214968,924031
US,United States of America (the),KRAL,Riverside Municipal Airport,33.9519,-117.445,General Aviation,27807,321004,784052,57773,4897444,216006523
US,United States of America (the),KROA,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403,Commercial Passenger,7460,2877704,28536741,194995,4381183,44664452
US,United States of America (the),KROA,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403,Commercial Freighter,549,804036,11032410,68649,413458,7011792
US,United States of America (the),KROA,Roanoke–Blacksburg Regional Airport,37.3255,-79.975403,General Aviation,6328,76203,288760,7688,1215451,55353144
US,United States of America (the),KRQB,Roben Hood Airport,43.7225990295,-85.50409698490002,Commercial Passenger,134,7682,31912,8866,99124,396600
