,Country,Airport Name,Airport Latitude,Airport Longitude,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g)
455,United States of America (the),David Wayne Hooks Memorial Airport,30.0618000031,-95.5528030396,29529,362773,1403584
458,United States of America (the),Daytona Beach International Airport,29.179899,-81.058098,102547,3086386,28367653
462,United States of America (the),DeKalb Peachtree Airport,33.87633,-84.30213,37610,947993,4599317
466,United States of America (the),Denton Enterprise Airport,33.201769,-97.197983,45250,544315,2042448
470,United States of America (the),Denver International Airport,39.861698150635,-104.672996521,334337,247018866,3195392313
474,Brazil,Deputado Luiz Eduardo Magalhães International Airport,-12.908611,-38.322498,25102,18418620,251835007
478,United States of America (the),Des Moines International Airport,41.534,-93.663101,27502,12572538,155912260
482,United States of America (the),Detroit Metropolitan Wayne County Airport,42.21377,-83.353786,145413,113148878,1451814922
486,Russian Federation (the),Domodedovo International Airport,55.408798,37.9063,55907,49929374,730971511
490,Thailand,Don Mueang International Airport,13.9125995636,100.607002258,94268,73192490,1029792903
494,United Arab Emirates (the),Dubai International Airport,25.2527999878,55.3643989563,210973,389335220,7698339016
498,Ireland,Dublin Airport,53.428713,-6.262121,117797,97847287,1397169805
502,United States of America (the),Dupage Airport,41.90779877,-88.24859619,41308,677337,3457456
506,Germany,Düsseldorf Airport,51.289501,6.76678,72876,62600865,883140840
510,United Kingdom of Great Britain and Northern Ireland (the),East Midlands Airport,52.8311,-1.32806,31910,26681491,355286953
514,United Kingdom of Great Britain and Northern Ireland (the),Edinburgh Airport,55.950145,-3.372288,56807,41112875,537872045
518,Canada,Edmonton International Airport,53.3097,-113.580002,50633,25578101,327614344
522,Netherlands (the),Eindhoven Airport,51.4500999451,5.37452983856,22956,15555816,193229555
526,Colombia,El Dorado International Airport,4.70159,-74.1469,165161,143845866,2214220650
530,United States of America (the),El Paso International Airport,31.807199,-106.377998,33986,18855062,220586600
534,United States of America (the),Ellison Onizuka Kona International Airport at Keahole,19.738783,-156.045603,24510,16806841,234406763
538,United States of America (the),Eppley Airfield,41.3032,-95.894096,32471,18775102,223333999
542,Turkey,Esenboğa International Airport,40.128101,32.995098,32141,24118843,294799336
546,United States of America (the),Essex County Airport,40.875198364300005,-74.2814025879,30192,382431,1652760
550,France,EuroAirport Basel-Mulhouse-Freiburg,47.60068,7.521117,35136,26178431,371372919
554,United States of America (the),Falcon Field,33.4608001709,-111.727996826,83295,843629,2564810
558,Italy,Falcone–Borsellino Airport,38.175999,13.091,28388,20061620,246085833
562,Portugal,Faro Airport,37.0144004822,-7.96590995789,30380,23484870,305143874
566,United States of America (the),Flying Cloud Airport,44.8272018433,-93.4570999146,33766,563914,2595414
570,United States of America (the),Fort Lauderdale Executive Airport,26.1972999573,-80.1707000732,53745,1104511,5618463
574,United States of America (the),Fort Lauderdale Hollywood International Airport,26.072599,-80.152702,137124,109365590,1589644335
578,United States of America (the),Fort Worth Meacham International Airport,32.819801,-97.362396,22543,890029,3963614
582,Portugal,Francisco de Sá Carneiro Airport,41.2481002808,-8.68138980865,51036,41085935,562333657
586,Germany,Frankfurt Airport,50.030241,8.561096,212567,252722039,4084905592
590,United States of America (the),Frederick Douglass Greater Rochester International Airport,43.1189,-77.672401,26142,10947731,122570392
594,United States of America (the),Fresno Yosemite International Airport,36.776199,-119.718002,23231,9130809,107584307
598,United States of America (the),Friday Harbor Airport,48.523654,-123.024645,21208,442338,1086082
601,Spain,Fuerteventura Airport,28.4527,-13.8638,23876,13620349,177640449
605,Japan,Fukuoka Airport,33.585899353027344,130.4510040283203,70566,70255794,1075948801
608,China,Fuzhou Changle International Airport,25.934669,119.66318,49119,38209785,477557936
612,Poland,Gdańsk Lech Wałęsa Airport,54.377602,18.4662,22632,16126159,200180844
616,United States of America (the),General Mitchell International Airport,42.947201,-87.896599,38894,22899801,280035331
620,Switzerland,Geneva Cointrin International Airport,46.238098,6.10895,70004,55665552,815716683
624,United States of America (the),George Bush Intercontinental Houston Airport,29.984399795532227,-95.34140014648438,210263,168050503,2362893318
628,United States of America (the),Georgetown Executive Airport at Johnny Gantt Field,30.677543,-97.678524,33788,358630,1146496
632,United States of America (the),Gerald R. Ford International Airport,42.88079834,-85.52279663,32308,14384550,181602333
636,United States of America (the),Gillespie Field,32.826198577881,-116.97200012207,28327,296229,945368
640,Korea (the Republic of),Gimhae International Airport,35.179501,128.938004,41244,33830304,475239319
644,Korea (the Republic of),Gimpo International Airport,37.5583,126.791,69512,64813475,882156029
648,United Kingdom of Great Britain and Northern Ireland (the),Glasgow International Airport,55.871899,-4.43306,34925,20457256,254750283
652,United States of America (the),Glendale Municipal Airport,33.52690124511719,-112.29499816894533,22831,215047,714736
655,Australia,Gold Coast Airport,-28.165962,153.506641,29786,16431879,221687194
659,Spain,Gran Canaria Airport,27.9319,-15.3866,63202,33045572,432485127
663,United States of America (the),Grand Forks International Airport,47.949299,-97.176102,54511,1241519,9508571
667,United States of America (the),Grand Prairie Municipal Airport,32.698799,-97.046898,21912,257593,1305711
671,United States of America (the),Greenville Downtown Airport,34.847903,-82.350217,23287,335410,1203942
674,China,Guanghan Airport,30.9485,104.3296,34070,303268,2059961
678,China,Guangzhou Baiyun International Airport,23.392401,113.299004,223074,252788124,4090159370
682,Brazil,Guarulhos - Governador André Franco Montoro International Airport,-23.431944,-46.467778,126535,132876572,2200446494
686,China,Guiyang Longdongbao International Airport,26.541466,106.803331,69396,51884437,636130987
690,United States of America (the),Gwinnett County Briscoe Field,33.97809982,-83.96240234,23719,358152,1347968
694,Sweden,Göteborg Landvetter Airport,57.6628,12.2798,25006,15695144,200402490
698,China,Haikou Meilan International Airport,19.9349,110.459,84760,74665871,1056100397
702,Qatar,Hamad International Airport,25.273056,51.608056,127133,232546706,4638176092
706,Germany,Hamburg Helmut Schmidt Airport,53.630402,9.98823,55704,43308783,622597894
710,China,Hangzhou Xiaoshan International Airport,30.23609,120.428865,147883,143534232,2050993242
714,Germany,Hannover Airport,52.461102,9.68508,24790,15507215,203274816
718,China,Harbin Taiping International Airport,45.623402,126.25,73230,61108613,846597899
722,United States of America (the),Harry Reid International Airport,36.083361,-115.151817,225965,173589454,2364399353
726,United States of America (the),Hartsfield Jackson Atlanta International Airport,33.6367,-84.428101,390276,356131429,4772707575
730,Indonesia,Hasanuddin International Airport,-5.06163,119.554001,22657,18560500,235766141
733,Bangladesh,Hazrat Shahjalal International Airport,23.843347,90.397783,47175,44005827,754300707
737,United States of America (the),Hector International Airport,46.92070007324219,-96.81580352783205,25687,6364898,71794994
741,China,Hefei Xinqiao International Airport,31.98779,116.9769,41842,34712478,480979968
745,Finland,Helsinki Vantaa Airport,60.318363,24.963341,69775,54169010,749035291
749,United States of America (the),Hemet Ryan Airport,33.7340011597,-117.023002625,27090,392226,1251580
753,Greece,Heraklion International Nikos Kazantzakis Airport,35.339699,25.1803,27621,22292159,313719071
757,Azerbaijan,Heydar Aliyev International Airport,40.467498779296875,50.04669952392578,30116,37291757,502126026
761,China,Hohhot Baita International Airport,40.849658,111.824598,49796,35463858,418964257
765,Hong Kong,Hong Kong International Airport,22.308901,113.915001,139294,261119007,4661944960
769,Algeria,Houari Boumediene Airport,36.693886,3.214531,27861,24732688,327037884
773,Portugal,Humberto Delgado Airport (Lisbon Portela Airport),38.7813,-9.13592,112127,99066546,1537636452
777,Spain,Ibiza Airport,38.872898,1.37312,33708,22778121,299527766
781,Korea (the Republic of),Incheon International Airport,37.469101,126.450996,173098,284324323,4840010466
785,United States of America (the),Indianapolis International Airport,39.7173,-86.294403,95164,56771668,732280710
789,India,Indira Gandhi International Airport,28.55563,77.09519,221962,206523081,3304802955
793,Turkey,Istanbul Sabiha Gökçen International Airport,40.898602,29.3092,115076,85552786,1260129186
797,United States of America (the),Jacksonville Executive at Craig Airport,30.3362998962,-81.51439666750001,42892,531017,1770889
800,United States of America (the),Jacksonville International Airport,30.492469,-81.687813,36416,27496979,357863983
804,Korea (the Republic of),Jeju International Airport,33.512058,126.492548,84402,72333358,945408526
808,China,Jieyang Chaoshan International Airport,23.552,116.5033,29896,22424790,275670128
812,China,Jinan Yaoqiang International Airport,36.857201,117.216003,66878,51592210,648250731
816,United States of America (the),John C Tune Airport,36.1824,-86.886703,21126,496777,2122718
819,United States of America (the),John F Kennedy International Airport,40.639447,-73.779317,242258,277691309,4505524880
