,Country,Airport Name,Airport Latitude,Airport Longitude,Flights,Fuel LTO Cycle (kg)  ,NOx LTO Total mass (g)
1359,United States of America (the),Palm Springs International Airport,33.8297,-116.507004,22387,11453422,139371861
1362,Spain,Palma de Mallorca Airport,39.551701,2.73881,106032,80449812,1099068108
1366,United States of America (the),Palo Alto Airport of Santa Clara County,37.461101532,-122.114997864,36528,364785,1237140
1369,France,Paris-Orly Airport,48.72333,2.37944,103773,91913053,1341345118
1373,United States of America (the),Peachtree City Falcon Field,33.3573,-84.5718,29836,265991,886998
1377,Malaysia,Penang International Airport,5.297140121459961,100.2770004272461,29947,25670028,374249119
1381,United States of America (the),Pensacola International Airport,30.4734,-87.1866,34423,9661206,110340132
1385,United States of America (the),Perot Field/Fort Worth Alliance Airport,32.99044,-97.31947,44524,12473442,165310594
1389,Australia,Perth International Airport,-31.94029998779297,115.96700286865234,73276,58239186,779174196
1393,Australia,Perth Jandakot Airport,-32.09749984741211,115.88099670410156,33460,885174,3446711
1396,United States of America (the),Philadelphia International Airport,39.871899,-75.241096,142008,109444770,1496159022
1400,United States of America (the),Phoenix Deer Valley Airport,33.6883010864,-112.083000183,50510,681515,2146256
1403,United States of America (the),Phoenix Goodyear Airport,33.4225006104,-112.375999451,48619,648170,3015333
1407,United States of America (the),Phoenix Sky Harbor International Airport,33.435302,-112.005905,216659,160173893,2184688438
1411,United States of America (the),Phoenix–Mesa Gateway Airport,33.3078,-111.654999,58645,6843549,101221112
1415,Thailand,Phuket International Airport,8.1132,98.316902,41749,41965026,686744476
1419,United States of America (the),Piedmont Triad International Airport,36.097801,-79.937302,31716,12582409,143331822
1423,United States of America (the),Pittsburgh International Airport,40.491501,-80.232903,53517,35477168,441408091
1427,United States of America (the),Pompano Beach Airpark,26.247100830078,-80.111099243164,30695,350192,1301319
1431,United States of America (the),Portland Hillsboro Airport,45.540401,-122.949997,48696,536841,1967987
1435,United States of America (the),Portland International Airport,45.588699,-122.598,87586,62780318,801909224
1439,United States of America (the),Prescott International Airport - Ernest A. Love Field,34.654499,-112.419998,39351,614317,2893435
1443,Brazil,Presidente Juscelino Kubitschek International Airport,-15.869167,-47.920834,54368,41626607,592182825
1447,United States of America (the),Provo-Utah Lake International Airport,40.2192,-111.723,32996,3096448,40081967
1451,United States of America (the),Pueblo Memorial Airport,38.289101,-104.497002,29351,436115,1836027
1455,Russian Federation (the),Pulkovo Airport,59.800301,30.262501,71222,55950202,719183935
1459,India,Pune Airport / Lohagaon Air Force Station,18.5821,73.919701,30786,21945223,319989963
1463,Dominican Republic (the),Punta Cana International Airport,18.5674,-68.363403,28109,26567664,396880217
1467,United States of America (the),Purdue University Airport,40.412875,-86.939363,25167,368406,1937459
1471,China,Qingdao Jiaodong International Airport,36.361953,120.088171,84118,70333847,941860823
1475,China,Quanzhou Jinjiang International Airport,24.7964,118.589996,26698,20745583,259539855
1479,Jordan,Queen Alia International Airport,31.7226009369,35.9931983948,37359,37736229,558824157
1483,Colombia,Rafael Nuñez International Airport,10.4424,-75.513,22418,19340722,294779844
1487,India,Rajiv Gandhi International Airport,17.231318,78.429855,85441,60034596,913700158
1491,United States of America (the),Raleigh Durham International Airport,35.877602,-78.787498,89332,51780134,650106080
1495,Brazil,Recife/Guararapes - Gilberto Freyre International Airport,-8.125984,-34.923316,35989,21507946,296381373
1499,United States of America (the),Reid-Hillview Airport of Santa Clara County,37.332901001,-121.819000244,31335,266177,889017
1502,United States of America (the),Reno Tahoe International Airport,39.4991,-119.767998,40988,18582121,222594336
1506,United States of America (the),Renton Municipal Airport,47.4930992126,-122.216003418,37686,515181,4071634
1510,United States of America (the),Republic Airport,40.7288017273,-73.4133987427,47436,699450,4331056
1514,United States of America (the),Richard Lloyd Jones Jr Airport,36.039600372314,-95.984596252441,48608,496460,1746068
1517,United States of America (the),Richmond International Airport,37.505199,-77.319702,37550,21611685,266393470
1521,Latvia,Riga International Airport,56.923599,23.9711,29685,18295309,232987391
1525,Brazil,Rio Galeão – Tom Jobim International Airport,-22.809999,-43.250557,25730,24481593,392412834
1529,United States of America (the),Riverside Municipal Airport,33.9519,-117.445,28036,340079,892684
1532,United States of America (the),Roberts Field,44.2541008,-121.1500015,24900,4610621,45485022
1536,United States of America (the),Rocky Mountain Metropolitan Airport,39.908798,-105.116997,61440,1361749,8249102
1539,Italy,Rome–Fiumicino Leonardo da Vinci International Airport,41.804532,12.251998,132730,125556887,1899841508
1543,United States of America (the),Ronald Reagan Washington National Airport,38.8521,-77.037697,150604,93073494,1056824628
1546,United States of America (the),Sacramento Executive Airport,38.5125007629,-121.492996216,22460,266636,897648
1549,United States of America (the),Sacramento International Airport,38.6954,-121.591003,62717,45026329,576501559
1553,Brazil,Salgado Filho International Airport,-29.994712,-51.166592,27989,19570242,265101439
1557,United States of America (the),Salt Lake City International Airport,40.78886,-111.979866,140886,89165856,1105288473
1561,United States of America (the),San Antonio International Airport,29.533701,-98.469803,76870,39703593,514779399
1565,Bolivia (Plurinational State of),San Carlos Airport,-17.427798,-63.674953,15,3400,43510
1566,United States of America (the),San Carlos Airport,37.51313,-122.250838,22598,345501,1401945
1572,United States of America (the),San Diego International Airport,32.7336006165,-117.190002441,101367,78785886,1068873205
1576,United States of America (the),San Francisco International Airport,37.619806,-122.374821,181488,190167911,3092543271
1580,United States of America (the),Santa Barbara Municipal Airport,34.426201,-119.839996,22139,5307885,58073617
1584,Brazil,Santos Dumont Airport,-22.9105,-43.163101,46463,32459964,356436658
1588,China,Sanya Phoenix International Airport,18.3029,109.412003,65444,68186881,1041966166
1592,United States of America (the),Sarasota Bradenton International Airport,27.394631,-82.554359,43177,14369217,189390209
1596,India,Sardar Vallabh Bhai Patel International Airport,23.0772,72.634697,41103,29628090,440339471
1600,United States of America (the),Savannah Hilton Head International Airport,32.127602,-81.202103,36641,13982668,156554466
1604,United States of America (the),Scottsdale Airport,33.622898101807,-111.91100311279,40765,855884,4537274
1608,United States of America (the),Seattle Paine Field International Airport,47.9063,-122.281998,50416,4278095,45801831
1612,United States of America (the),Seattle–Tacoma International Airport,47.447943,-122.310276,224712,172074124,2307066045
1616,Spain,Sevilla Airport,37.417999,-5.89311,27512,20787237,273490230
1620,China,Shanghai Hongqiao International Airport,31.198104,121.33426,131327,166727278,2731989932
1624,China,Shanghai Pudong International Airport,31.1434,121.805,215537,259451084,4203784257
1628,United Arab Emirates (the),Sharjah International Airport,25.3286,55.5172,50632,48465900,763772366
1632,China,Shenyang Taoxian International Airport,41.639801,123.483002,73439,61132188,844945634
1636,China,Shenzhen Bao'an International Airport,22.639299,113.810997,194352,209679783,3181488805
1640,Russian Federation (the),Sheremetyevo International Airport,55.972599,37.4146,110525,114848560,1790292354
1644,China,Shijiazhuang Zhengding International Airport,38.280701,114.696999,37075,29656876,390713863
1648,Singapore,Singapore Changi Airport,1.35019,103.994003,165017,249169624,4531343307
1652,United States of America (the),Sioux Falls Regional Airport / Joe Foss Field,43.585463,-96.741152,25613,7613532,88804583
1656,United States of America (the),Smyrna Airport,36.0089988708,-86.5201034546,27551,724538,3975797
1660,Russian Federation (the),Sochi International Airport,43.449902,39.9566,29981,25355069,354541476
1664,Indonesia,Soekarno-Hatta International Airport,-6.1255698204,106.65599823,173839,173896437,2666412438
1668,Bulgaria,Sofia Airport,42.696357,23.417671,27906,22118727,314018936
1672,United States of America (the),Southwest Florida International Airport,26.53619956970215,-81.75520324707031,41191,32656367,438987164
1676,United States of America (the),Spirit of St Louis Airport,38.662102,-90.652,24388,545019,2623415
1680,United States of America (the),Spokane International Airport,47.6199,-117.533997,28045,16536469,197892877
1684,United States of America (the),Springfield Branson National Airport,37.245701,-93.388603,22324,5798790,60612967
1688,United States of America (the),St Louis Lambert International Airport,38.748697,-90.370003,82019,51936021,646627550
1692,United States of America (the),St Lucie County International Airport,27.49510002,-80.36830139,34117,481504,1621929
1695,United States of America (the),St. Petersburg Clearwater International Airport,27.9102,-82.687401,31250,8331610,119971981
1699,Norway,"Stavanger Airport, Sola",58.876701,5.63778,22546,12732085,139011154
1703,Sweden,Stockholm-Arlanda Airport,59.64849,17.928829,91433,67009066,892257393
1707,Germany,Stuttgart Airport,48.689899,9.22196,40047,29634148,398269780
1711,Indonesia,Sultan Aji Muhammad Sulaiman Sepinggan International Airport,-1.268342,116.89452,21577,15714184,220393255
1715,China,Sunan Shuofang International Airport,31.494400024399997,120.429000854,35426,29749051,398975963
1719,Thailand,Suvarnabhumi Airport,13.681099891662598,100.74700164794922,153815,209311574,3708994405
1723,Australia,Sydney Bankstown Airport,-33.923618,150.990792,30885,642450,2585136
1727,Australia,Sydney Kingsford Smith International Airport,-33.94609832763672,151.177001953125,156041,140222894,2122778910
1731,United States of America (the),Syracuse Hancock International Airport,43.11119842529297,-76.1063003540039,24571,12850141,157243167
1735,Taiwan (Province of China),Taipei Songshan Airport,25.069400787353516,121.552001953125,22233,16229810,227931889
1739,Taiwan (Province of China),Taiwan Taoyuan International Airport,25.0777,121.233002,100925,176502513,3320538116
1743,China,Taiyuan Wusu Airport,37.746899,112.627998,50048,39132319,496240835
1747,United States of America (the),Tampa International Airport,27.9755,-82.533203,100345,78247956,1074102803
1751,Viet Nam,Tan Son Nhat International Airport,10.8188,106.652,121658,132268657,2134248397
1755,Brazil,Tancredo Neves International Airport,-19.63571,-43.966928,41238,25886203,313869106
1759,Uzbekistan,Tashkent International Airport,41.257900238,69.2811965942,23689,25777045,380819689
1763,United States of America (the),Ted Stevens Anchorage International Airport,61.179004,-149.992561,112595,140073924,2092221462
1767,Spain,Tenerife Norte-Ciudad de La Laguna Airport,28.4827,-16.341499,35384,13794785,176283026
1771,Spain,Tenerife Sur Airport,28.0445,-16.5725,39067,28371119,382082943
1775,United States of America (the),Theodore Francis Green State Airport,41.725038,-71.425668,25418,13059358,162617478
1779,Greece,Thessaloniki Macedonia International Airport,40.51928,22.970009,24231,16946113,224773006
1783,China,Tianjin Binhai International Airport,39.124401092499994,117.346000671,70545,57263960,723734566
1787,Albania,Tirana International Airport Mother Teresa,41.4147,19.7206,24499,19308397,273454372
1791,Panama,Tocumen International Airport,9.07136,-79.383499,69529,55603320,750080726
1795,Japan,Tokyo Haneda International Airport,35.552299,139.779999,229773,300105769,4857402236
1799,Canada,Toronto Lester B. Pearson International Airport,43.6772,-79.6306,184971,163098034,2575838860
1803,France,Toulouse-Blagnac Airport,43.629101,1.36382,36056,28191495,368662784
1807,United States of America (the),Trenton Mercer Airport,40.276699,-74.813499,43114,2036760,20148196
1811,Nepal,Tribhuvan International Airport,27.6966,85.3591,33329,18756422,259216691
1815,Norway,"Trondheim Airport, Værnes",63.457802,10.924,25469,11677367,122630268
1819,United States of America (the),Tucson International Airport / Morris Air National Guard Base,32.115004,-110.938053,32353,13830115,168658335
1823,United States of America (the),Tulsa International Airport,36.19839859008789,-95.88809967041016,27776,14236023,166141503
1827,Tunisia,Tunis Carthage International Airport,36.851002,10.2272,28047,24220749,343507723
1831,Spain,Valencia Airport,39.4893,-0.481625,36844,26162910,327400451
1835,United States of America (the),Van Nuys Airport,34.209800720215,-118.48999786377,40920,1065156,6387875
1839,Canada,Vancouver International Airport,49.193901062,-123.183998108,123763,85438852,1391655774
1843,Italy,Venice Marco Polo Airport,45.505299,12.3519,40817,33153229,449975530
1847,United States of America (the),Vero Beach Regional Airport,27.6556,-80.417901,51232,899195,5274536
1850,Canada,Victoria International Airport,48.647201,-123.427792,23112,5159662,56075086
1853,Austria,Vienna International Airport,48.110298,16.5697,113197,100523745,1483211180
1857,Brazil,Viracopos International Airport,-23.007404,-47.134502,56850,39086816,505106303
1861,Russian Federation (the),Vnukovo International Airport,55.591499,37.261501,36018,33077533,435992998
1865,Czechia,Václav Havel Airport Prague,50.100874,14.259911,51606,39932170,544985315
1869,Poland,Warsaw Chopin Airport,52.1656990051,20.967100143399996,79944,58009480,783188449
1873,United States of America (the),Washington Dulles International Airport,38.9445,-77.455803,116486,100576047,1540284322
1877,New Zealand,Wellington International Airport,-41.3272018433,174.804992676,40731,15834372,223932043
1881,China,Wenzhou Longwan International Airport,27.912201,120.851997,45984,37936201,506510543
1885,United States of America (the),Westchester County Airport,41.06700134277344,-73.70760345458984,41338,10831106,130111796
1889,United States of America (the),Wichita Eisenhower National Airport,37.649899,-97.433098,26551,8345540,91711285
1893,United States of America (the),Will Rogers World Airport,35.393388,-97.598248,29647,17615144,207601057
1897,United States of America (the),William P Hobby Airport,29.645399,-95.2789,69041,46398950,590421672
1901,Canada,Winnipeg / James Armstrong Richardson International Airport,49.909999847399995,-97.2398986816,38035,19136452,247160160
1905,United States of America (the),Witham Field,27.18169975,-80.22109985,36628,510566,2096471
1908,China,Wuhan Tianhe International Airport,30.774798,114.213723,96896,77059628,982284308
1912,China,Xi'an Xianyang International Airport,34.447102,108.751999,153018,129409522,1763122900
1916,China,Xiamen Gaoqi International Airport,24.54400062561035,118.12799835205078,88652,75459323,1017045832
1920,China,Xining Caojiabao International Airport,36.528295,102.040157,25745,21581937,291728021
1923,China,Xishuangbanna Gasa International Airport,21.974648,100.762224,22560,18243732,238154356
1926,China,Yantai Penglai International Airport,37.659724,120.978124,33766,27257639,360904861
1930,China,Yinchuan Hedong International Airport,38.322758,106.393214,31695,24715570,317636093
1934,Croatia,Zagreb Airport,45.742901,16.0688,21175,12748406,167255692
1938,United States of America (the),Zamperini Field,33.803398132324,-118.33999633789,45851,385125,1283078
1942,China,Zhengzhou Xinzheng International Airport,34.526497,113.849165,98686,82319073,1051775598
1946,China,Zhuhai Jinwan Airport,22.006399,113.375999,42733,32885971,402922760
1949,Switzerland,Zürich Airport,47.458056,8.548056,112016,102581517,1591971691
1953,China,Ürümqi Diwopu International Airport,43.907100677490234,87.47419738769531,87234,72998086,947806016
1957,Turkey,İstanbul Airport,41.261297,28.741951,251799,305838585,5084772623
